Cluster,Voxels,Volume_ml,Peak_Z,Peak_x,Peak_y,Peak_z,Hemisphere,Dominant_ROI,COM_x,COM_y,COM_z
1,128,1.0239999999999998,-3.1768405437469482,60.0,-62.0,-16.0,Left,Right ITG inferior temporal gyrus,56.078125,-60.09375,-18.71875
2,379,3.0319999999999996,-3.2167177200317383,36.0,-50.0,-62.0,Left,Right Cerebellum Exterior,31.651715039577837,-60.89709762532981,-52.82321899736148
3,848,6.783999999999998,-3.2846078872680664,-58.0,-64.0,-20.0,Right,Left ITG inferior temporal gyrus,-8.450471698113205,-85.96698113207547,-9.110849056603776
4,399,3.1919999999999993,-3.2826411724090576,26.0,-16.0,-42.0,Left,Right Ent entorhinal area,20.040100250626566,-0.1303258145363344,-38.59147869674186
5,57,0.4559999999999999,-2.7715210914611816,24.0,-38.0,20.0,Left,Right Cerebral White Matter,19.64912280701754,-18.807017543859644,24.45614035087719
6,76,0.6079999999999999,-2.7229995727539062,14.0,18.0,-30.0,Left,Optic Chiasm,-0.1315789473684248,6.39473684210526,-22.289473684210527
7,146,1.1679999999999997,-2.9264469146728516,2.0,-34.0,-60.0,Left,Brain Stem,-1.0958904109589014,-41.301369863013704,-63.23287671232877
8,54,0.4319999999999999,-2.6022469997406006,2.0,0.0,20.0,Left,Left Lateral Ventricle,0.0,-0.7037037037037095,15.666666666666671
9,69,0.5519999999999999,-2.6834332942962646,-4.0,-80.0,-46.0,Right,Left Cerebellum Exterior,-12.927536231884062,-83.5072463768116,-42.434782608695656
10,734,5.871999999999999,-3.342489719390869,-22.0,14.0,-46.0,Right,Left TMP temporal pole,-27.07629427792915,4.021798365122621,-33.94277929155314
11,57,0.4559999999999999,-2.6629815101623535,-20.0,-28.0,26.0,Right,Left Cerebral White Matter,-17.578947368421055,-14.596491228070178,25.6140350877193
12,257,2.0559999999999996,-3.3463399410247803,-36.0,-60.0,-62.0,Right,Left Cerebellum Exterior,-33.6420233463035,-52.264591439688715,-57.87548638132296
13,86,0.6879999999999998,-2.659613847732544,-32.0,-50.0,4.0,Right,Left Cerebral White Matter,-33.0,-34.95348837209302,-3.7906976744186096
